variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,validator_storage_head_bytes,validator_storage_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
scalar16,scalar,honest_homo,eval_079,global_shared,99.99,1.5,16,64,192,125437,125437,2132,32,96,253224,253288,1.578917,1.552625,0.079958,0.062917,0.002334,3.196793,0,,,186
scalar16,scalar,honest_homo,eval_080,global_shared,99.99,1.5,16,64,192,94814,94814,2132,32,96,191978,192042,1.57325,1.620375,0.096,0.067833,0.002583,3.264041,0,,,186
scalar16,scalar,honest_homo,eval_081,global_shared,99.99,1.5,16,64,192,102323,102323,2132,32,96,206996,207060,1.594916,1.552083,0.104958,0.068875,0.002625,3.218499,0,,,186
scalar16,scalar,honest_homo,eval_082,global_shared,99.99,1.5,16,64,192,110077,110077,2132,32,96,222504,222568,1.592875,1.594917,0.086583,0.068125,0.0025,3.258417,0,,,186
scalar16,scalar,honest_homo,eval_083,global_shared,99.99,1.5,16,64,192,94746,94746,2132,32,96,191842,191906,1.544916,1.551125,0.08575,0.0645,0.002375,3.162916,0,,,186
scalar16,scalar,honest_homo,eval_084,global_shared,99.99,1.5,16,64,192,94772,94772,2132,32,96,191894,191958,1.53675,1.481667,0.085541,0.076334,0.002458,3.097209,0,,,186
scalar16,scalar,honest_homo,eval_085,global_shared,99.99,1.5,16,64,192,94711,94711,2132,32,96,191772,191836,1.563959,1.605041,0.091542,0.06575,0.002625,3.237375,0,,,186
scalar16,scalar,honest_homo,eval_086,global_shared,99.99,1.5,16,64,192,94658,94658,2132,32,96,191666,191730,1.614375,1.546834,0.087333,0.065459,0.002458,3.229126,0,,,186
scalar16,scalar,honest_homo,eval_087,global_shared,99.99,1.5,16,64,192,125362,125362,2132,32,96,253074,253138,1.633042,1.60175,0.077792,0.068292,0.002375,3.305459,0,,,186
scalar16,scalar,honest_homo,eval_088,global_shared,99.99,1.5,16,64,192,125445,125445,2132,32,96,253240,253304,1.674833,1.678208,0.080541,0.068209,0.002333,3.423583,0,,,186
scalar16,scalar,honest_homo,eval_089,global_shared,99.99,1.5,16,64,192,125479,125479,2132,32,96,253308,253372,1.60275,1.554125,0.079,0.063583,0.00225,3.222708,0,,,186
scalar16,scalar,honest_homo,eval_090,global_shared,99.99,1.5,16,64,192,94653,94653,2132,32,96,191656,191720,1.486041,1.528833,0.084375,0.064666,0.002333,3.081873,0,,,186
scalar16,scalar,honest_homo,eval_091,global_shared,99.99,1.5,16,64,192,94583,94583,2132,32,96,191516,191580,1.516833,1.546042,0.081,0.065042,0.002292,3.130209,0,,,186
scalar16,scalar,honest_homo,eval_092,global_shared,99.99,1.5,16,64,192,102324,102324,2132,32,96,206998,207062,1.552958,1.507417,0.081542,0.063709,0.002209,3.126293,0,,,186
scalar16,scalar,honest_homo,eval_093,global_shared,99.99,1.5,16,64,192,87015,87015,2132,32,96,176380,176444,1.467333,1.510209,0.078208,0.066709,0.002291,3.046542,0,,,186
scalar16,scalar,honest_homo,eval_094,global_shared,99.99,1.5,16,64,192,87058,87058,2132,32,96,176466,176530,1.551166,1.506167,0.089542,0.067167,0.002542,3.127042,0,,,186
scalar16,scalar,honest_homo,eval_095,global_shared,99.99,1.5,16,64,192,86952,86952,2132,32,96,176254,176318,1.571167,1.588875,0.096708,0.065375,0.0025,3.227917,0,,,186
scalar16,scalar,honest_homo,eval_096,global_shared,99.99,1.5,16,64,192,87127,87127,2132,32,96,176604,176668,1.531333,1.478417,0.0835,0.066959,0.002375,3.079084,0,,,186
scalar16,scalar,honest_homo,eval_097,global_shared,99.99,1.5,16,64,192,117750,117750,2132,32,96,237850,237914,1.617708,1.600708,0.083625,0.068666,0.002458,3.28954,0,,,186
scalar16,scalar,honest_homo,eval_098,global_shared,99.99,1.5,16,64,192,117759,117759,2132,32,96,237868,237932,1.619375,1.583292,0.079167,0.063958,0.002291,3.268916,0,,,186
scalar16,scalar,honest_homo,eval_099,global_shared,99.99,1.5,16,64,192,117780,117780,2132,32,96,237910,237974,1.616667,1.559875,0.080834,0.066833,0.002333,3.245708,0,,,186
scalar16,scalar,honest_homo,eval_100,global_shared,99.99,1.5,16,64,192,87059,87059,2132,32,96,176468,176532,1.530042,1.526291,0.090125,0.066292,0.002458,3.125083,0,,,186
scalar16,scalar,honest_homo,eval_101,global_shared,99.99,1.5,16,64,192,94700,94700,2132,32,96,191750,191814,1.591458,1.5915,0.080041,0.064959,0.00225,3.250167,0,,,186
scalar16,scalar,honest_homo,eval_102,global_shared,99.99,1.5,16,64,192,102373,102373,2132,32,96,207096,207160,1.557833,1.53775,0.07925,0.064084,0.002208,3.161875,0,,,186
scalar16,scalar,honest_homo,eval_103,global_shared,99.99,1.5,16,64,192,87158,87158,2132,32,96,176666,176730,1.543583,1.576,0.081291,0.0685,0.00225,3.190333,0,,,186
scalar16,scalar,honest_homo,eval_104,global_shared,99.99,1.5,16,64,192,87146,87146,2132,32,96,176642,176706,1.595833,1.513875,0.081666,0.063,0.00225,3.174958,0,,,186
scalar16,scalar,honest_homo,eval_105,global_shared,99.99,1.5,16,64,192,87135,87135,2132,32,96,176620,176684,1.49,1.531166,0.0835,0.062708,0.002416,3.08629,0,,,186
scalar16,scalar,honest_homo,eval_106,global_shared,99.99,1.5,16,64,192,87115,87115,2132,32,96,176580,176644,1.505,1.487084,0.080125,0.062417,0.00225,3.056751,0,,,186
scalar16,scalar,honest_homo,eval_107,global_shared,99.99,1.5,16,64,192,117810,117810,2132,32,96,237970,238034,1.611834,1.527583,0.077209,0.063958,0.002208,3.205583,0,,,186
scalar16,scalar,honest_homo,eval_108,global_shared,99.99,1.5,16,64,192,117838,117838,2132,32,96,238026,238090,1.569959,1.523334,0.077791,0.063541,0.002333,3.159167,0,,,186
scalar16,scalar,honest_homo,eval_109,global_shared,99.99,1.5,16,64,192,117828,117828,2132,32,96,238006,238070,1.612917,1.54175,0.081792,0.066292,0.002208,3.223167,0,,,186
scalar16,scalar,honest_homo,eval_110,global_shared,99.99,1.5,16,64,192,87160,87160,2132,32,96,176670,176734,1.507375,1.584875,0.098417,0.084292,0.002417,3.178959,0,,,186
scalar16,scalar,honest_homo,eval_111,global_shared,99.99,1.5,16,64,192,87018,87018,2132,32,96,176386,176450,1.600291,1.5265,0.082667,0.0645,0.002167,3.193458,0,,,186
scalar16,scalar,honest_homo,eval_112,global_shared,99.99,1.5,16,64,192,94785,94785,2132,32,96,191920,191984,1.553417,1.49975,0.0765,0.0635,0.002208,3.118875,0,,,186
scalar16,scalar,honest_homo,eval_113,global_shared,99.99,1.5,16,64,192,79413,79413,2132,32,96,161176,161240,1.517,1.498958,0.077292,0.069958,0.002208,3.088124,0,,,186
scalar16,scalar,honest_homo,eval_114,global_shared,99.99,1.5,16,64,192,79398,79398,2132,32,96,161146,161210,1.474333,1.453583,0.077959,0.065917,0.002333,2.996166,0,,,186
scalar16,scalar,honest_homo,eval_115,global_shared,99.99,1.5,16,64,192,79342,79342,2132,32,96,161034,161098,1.489833,1.479042,0.08575,0.06675,0.002417,3.038042,0,,,186
scalar16,scalar,honest_homo,eval_116,global_shared,99.99,1.5,16,64,192,79427,79427,2132,32,96,161204,161268,1.5405,1.505125,0.083458,0.064208,0.002375,3.112208,0,,,186
scalar16,scalar,honest_homo,eval_117,global_shared,99.99,1.5,16,64,192,110094,110094,2132,32,96,222538,222602,1.561541,1.57375,0.081667,0.068,0.002417,3.205708,0,,,186
scalar16,scalar,honest_homo,eval_118,global_shared,99.99,1.5,16,64,192,110064,110064,2132,32,96,222478,222542,1.616291,1.619833,0.087083,0.071083,0.002417,3.309624,0,,,186
scalar16,scalar,honest_homo,eval_119,global_shared,99.99,1.5,16,64,192,110108,110108,2132,32,96,222566,222630,1.654417,1.586083,0.077166,0.064125,0.002167,3.306792,0,,,186
scalar16,scalar,honest_homo,eval_120,global_shared,99.99,1.5,16,64,192,79443,79443,2132,32,96,161236,161300,1.469541,1.444167,0.075917,0.063458,0.002208,2.979374,0,,,186
scalar16,scalar,honest_homo,eval_121,global_shared,99.99,1.5,16,64,192,125386,125386,2132,32,96,253122,253186,1.650334,1.589,0.085958,0.063666,0.002291,3.305291,0,,,186
scalar16,scalar,honest_homo,eval_122,global_shared,99.99,1.5,16,64,192,133104,133104,2132,32,96,268558,268622,1.662042,1.645667,0.082459,0.067,0.00225,3.376959,0,,,186
scalar16,scalar,honest_homo,eval_123,global_shared,99.99,1.5,16,64,192,117705,117705,2132,32,96,237760,237824,1.615042,1.573125,0.078292,0.064417,0.002208,3.254792,0,,,186
scalar16,scalar,honest_homo,eval_124,global_shared,99.99,1.5,16,64,192,117871,117871,2132,32,96,238092,238156,1.631583,1.595209,0.078125,0.067792,0.002958,3.297542,0,,,186
scalar16,scalar,honest_homo,eval_125,global_shared,99.99,1.5,16,64,192,117680,117680,2132,32,96,237710,237774,1.638041,1.636875,0.10375,0.06625,0.002334,3.3435,0,,,186
scalar16,scalar,honest_homo,eval_126,global_shared,99.99,1.5,16,64,192,117799,117799,2132,32,96,237948,238012,1.572583,1.511709,0.076083,0.062709,0.002208,3.149209,0,,,186
scalar16,scalar,honest_homo,eval_127,global_shared,99.99,1.5,16,64,192,148349,148349,2132,32,96,299048,299112,1.629583,1.629708,0.079792,0.062208,0.002209,3.323708,0,,,186
scalar16,scalar,honest_homo,eval_128,global_shared,99.99,1.5,16,64,192,148283,148283,2132,32,96,298916,298980,1.687084,1.6805,0.085125,0.062875,0.002291,3.43275,0,,,186
scalar16,scalar,honest_homo,eval_129,global_shared,99.99,1.5,16,64,192,148312,148312,2132,32,96,298974,299038,1.666583,1.586833,0.081042,0.063583,0.00225,3.319249,0,,,186
scalar16,scalar,honest_homo,eval_130,global_shared,99.99,1.5,16,64,192,117825,117825,2132,32,96,238000,238064,1.573417,1.586291,0.07975,0.065041,0.002458,3.227207,0,,,186
scalar16,scalar,honest_homo,eval_131,global_shared,99.99,1.5,16,64,192,94679,94679,2132,32,96,191708,191772,1.595292,1.533708,0.078792,0.064542,0.002292,3.195834,0,,,186
scalar16,scalar,honest_homo,eval_132,global_shared,99.99,1.5,16,64,192,102344,102344,2132,32,96,207038,207102,1.528542,1.480667,0.076167,0.063917,0.002292,3.075418,0,,,186
scalar16,scalar,honest_homo,eval_133,global_shared,99.99,1.5,16,64,192,87095,87095,2132,32,96,176540,176604,1.523542,1.52325,0.082833,0.064625,0.002416,3.113833,0,,,186
scalar16,scalar,honest_homo,eval_134,global_shared,99.99,1.5,16,64,192,87056,87056,2132,32,96,176462,176526,1.553,1.565959,0.081875,0.065666,0.00225,3.186875,0,,,186
scalar16,scalar,honest_homo,eval_135,global_shared,99.99,1.5,16,64,192,86993,86993,2132,32,96,176336,176400,1.548,1.506333,0.088583,0.068042,0.002375,3.12475,0,,,186
